Product_name, Price
MSI Mech Radeon RX 6700 XT Video Card RX 6700 XT MECH 2X 12G OC,899
ASRock Radeon RX 6800 XT Phantom Gaming D Gaming Graphics Card with 16GB GDDR6| AMD RDNA 2 (RX6800XT PGD 16GO),1399
ASUS GeForce GT 730 Video Card for Silent HTPC Builds (with I/O Port Brackets) GT730-SL-2GD5-BRK,68
Yeston Radeon RX6700XT 12GB D6 GDDR6 192bit 7nm Desktop computer PC Video Graphics Cards support PCI-Express 4.0 3*DP+1*HDMI-compatible   RGB light effect Fragrant graphics card,1079
Yeston GeForce GT730 4GB DDR3 Graphics cards Nvidia PCI Express 2.0 Desktop computer PC DVI-D +VGA+ HDMI-compatible video gaming graphics card,109
Yeston GeForce GT 1030 4GB DDR4 Graphics cards Nvidia pci express 3.0 Desktop computer PC video gaming graphics card,159
ZOTAC GAMING GeForce RTX 3070 Twin Edge OC White Edition LHR ZT-A30700J-10PLHR 8GB GDDR6X 384 Bit 1755 MHz 14 Gbps 3DP HDMI Graphic Card,1199
Yeston Radeon RX6800 16GB D6 GDDR6 256bit 7nm Desktop computer PC Video Graphics Cards support PCI-Express 4.0 3*DP+1*HDMI-compatible graphics card,1369
GIGABYTE Radeon RX 6600 EAGLE 8G Graphics Card| WINDFORCE 3X Cooling System| 8GB 128-bit GDDR6| GV-R66EAGLE-8GD Video Card,631
ASUS Dual GeForce RTX 2060 Advanced OC EVO Graphics Card 6GB 192-Bit GDDR6 PCIe 3.0 x16 DirectX 12 HDCP Ready Auto-Extreme Technology 1x DVI-D 2X HDMI 2.0b 1x DisplayPort 1.4|(DUAL-RTX2060-O6G-EVO),634
ASUS GeForce RTX 2060 Overclocked 6G GDDR6 Dual-Fan EVO Edition VR Ready HDMI DisplayPort DVI Graphics Card (DUAL-RTX2060-O6G-EVO),673
ASUS TUF Gaming NVIDIA GeForce RTX 3080 V2 OC Edition Graphics Card (PCIe 4.0| 10GB GDDR6X| LHR| HDMI 2.1| DisplayPort 1.4a| Dual Ball Fan Bearings| Military-grade Certification| GPU Tweak II),1617
ASUS GeForce GTX 1050 Ti 4GB PHOENIX Fan Edition DVI-D HDMI DP 1.4 Gaming Graphics Card (PH-GTX1050Ti-4G),279
ZOTAC GAMING GeForce GTX 1650 OC 4GB GDDR6 128-bit Gaming Graphics Card| Super Compact| ZT-T16520F-10L,334
Yeston GeForce GT 1030 4GB DDR4 LP Graphics cards Nvidia pci express 3.0 Included Low Profile Bracket Single slot graphics card Desktop computer PC video gaming graphics card,159
ASRock Radeon RX 6900 XT PHANTOM GAMING D Graphics Card 16GB GDDR6| AMD RDNA2 (RX6900XT PGD 16GO),1499
ASUS ROG Strix NVIDIA GeForce RTX 3080 Ti OC Edition Gaming Graphics Card (PCIe 4.0| 12GB GDDR6X| HDMI 2.1| Axial-tech Fan Design| 2.9-Slot| Super Alloy Power II| ASUS Auto-Extreme Technology),2523
GIGABYTE Radeon RX 6600 XT GAMING OC PRO 8G Graphics Card| WINDFORCE 3X Cooling System| 8GB 128-bit GDDR6| GV-R66XTGAMINGOC PRO-8GD Video Card,754
GIGABYTE GeForce RTX 3060 EAGLE 12G Graphics Card| 2 x WINDFORCE Fans| 12GB 192-bit GDDR6| GV-N3060EAGLE OC-12GD (rev. 2.0) (LHR) Video Card,764
ASUS Gaming GeForce GTX 1660 SUPER Overclocked 6GB Dual-fan Edition HDMI DP DVI Gaming Graphics Card (GTX1660S-O6G-GAMING),599
GIGABYTE Radeon RX 6700 XT GAMING OC 12G Graphics Card| WINDFORCE 3X Cooling System| 12GB 192-bit GDDR6| GV-R67XTGAMING OC-12GD Video Card,959
XFX SPEEDSTER QICK319 AMD Radeon RX 6700 XT BLACK Gaming Graphics Card with 12GB GDDR6| HDMI 3 x DP| AMD RDNA 2,988
XFX SPEEDSTER SWFT210 Radeon RX 6600 XT 8GB GDDR6 PCI Express 4.0 Core Gaming Graphics Card| AMD RDNA 2 RX-66XT8DFDQ,629
ZOTAC GAMING GeForce RTX 3060 Twin Edge OC 12GB GDDR6 192-bit 15 Gbps PCIE 4.0 Gaming Graphics Card| IceStorm 2.0 Cooling| Active Fan Control| FREEZE Fan Stop ZT-A30600H-10M,798
ZOTAC GAMING GeForce RTX 3070 Ti Trinity OC 8GB GDDR6X 256-bit 19 Gbps PCIE 4.0 Gaming Graphics Card| IceStorm 2.0 Advanced Cooling| SPECTRA 2.0 RGB Lighting| ZT-A30710J-10P,1349
Sapphire NITRO+ AMD RADEON RX 6900 XT SE GAMING OC Graphics Card With 16GB GDDR6 HDMI / TRIPLE DP,1869
GIGABYTE Radeon RX 6800 XT GAMING OC 16G Graphics Card| WINDFORCE 3X Cooling System| 16GB 256-bit GDDR6| GV-R68XTGAMING OC-16GD Video Card| Powered by AMD RDNA 2| HDMI 2.1,1319
ZOTAC GAMING GeForce GTX 1660 6GB GDDR5 192-bit Gaming Graphics Card| Super Compact| ZT-T16600K-10M,529
Dell Optiplex 740 750 3010 3020 7010 7020 9010 9020 SFF GT 610 1GB PCI Express 2.0 x16 DVI+HDMI Single Slot Low Profile Video Graphics Card,60
GIGABYTE GeForce RTX 3060 VISION OC 12G Graphics Card| 3 x WINDFORCE Fans| 12GB 192-bit GDDR6| GV-N3060VISION OC-12GD Video Card,815
